,Value (kWh),notes,Date,time,Day,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipit,day_of_week,year
33,0.655,weekend,2016-02-06,09:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
34,0.8859999999999999,weekend,2016-02-06,10:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
35,0.894,weekend,2016-02-06,11:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
36,0.8240000000000001,weekend,2016-02-06,12:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
37,0.55,weekend,2016-02-06,13:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
38,0.537,weekend,2016-02-06,14:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
39,0.799,weekend,2016-02-06,15:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
40,0.833,weekend,2016-02-06,16:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
41,3.408,weekend,2016-02-06,17:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
42,3.071,weekend,2016-02-06,18:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
43,1.642,weekend,2016-02-06,19:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
44,0.8959999999999999,weekend,2016-02-06,20:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
45,2.71,weekend,2016-02-06,21:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
46,1.176,weekend,2016-02-06,22:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
47,2.236,weekend,2016-02-06,23:00:00,2,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,5,2016
48,0.736,weekend,2016-03-06,00:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
49,1.102,weekend,2016-03-06,01:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
50,0.624,weekend,2016-03-06,02:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
51,0.595,weekend,2016-03-06,03:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
52,0.7020000000000001,weekend,2016-03-06,04:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
53,0.308,weekend,2016-03-06,05:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
54,0.364,weekend,2016-03-06,06:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
55,0.534,weekend,2016-03-06,07:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
56,0.471,weekend,2016-03-06,08:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
57,0.356,weekend,2016-03-06,09:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
58,0.263,weekend,2016-03-06,10:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
59,0.314,weekend,2016-03-06,11:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
60,0.349,weekend,2016-03-06,12:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
61,0.517,weekend,2016-03-06,13:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
62,0.408,weekend,2016-03-06,14:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
63,0.417,weekend,2016-03-06,15:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
64,0.561,weekend,2016-03-06,16:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
65,2.164,weekend,2016-03-06,17:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
66,2.055,weekend,2016-03-06,18:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
67,1.863,weekend,2016-03-06,19:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
68,1.258,weekend,2016-03-06,20:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
69,1.381,weekend,2016-03-06,21:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
70,1.163,weekend,2016-03-06,22:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
71,0.742,weekend,2016-03-06,23:00:00,3,79,72.1,68,72,70.0,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,6,2016
72,0.636,weekday,2016-04-06,00:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
73,0.955,weekday,2016-04-06,01:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
74,0.7170000000000001,weekday,2016-04-06,02:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
75,0.6709999999999999,weekday,2016-04-06,03:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
76,0.6920000000000001,weekday,2016-04-06,04:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
77,0.313,weekday,2016-04-06,05:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
78,0.3,weekday,2016-04-06,06:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
79,0.282,weekday,2016-04-06,07:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
80,0.525,weekday,2016-04-06,08:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
81,0.5579999999999999,weekday,2016-04-06,09:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
82,0.365,weekday,2016-04-06,10:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
83,0.402,weekday,2016-04-06,11:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
84,0.445,weekday,2016-04-06,12:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
85,0.283,weekday,2016-04-06,13:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
86,0.303,weekday,2016-04-06,14:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
87,0.588,weekday,2016-04-06,15:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
88,1.5590000000000002,weekday,2016-04-06,16:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
89,3.0269999999999997,weekday,2016-04-06,17:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
90,1.983,weekday,2016-04-06,18:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
91,1.514,weekday,2016-04-06,19:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
92,1.557,weekday,2016-04-06,20:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
93,2.045,weekday,2016-04-06,21:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
94,1.031,weekday,2016-04-06,22:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
95,2.1319999999999997,weekday,2016-04-06,23:00:00,4,76,71.2,69,73,70.0,66,100,96.1,85,20,7.0,0,29.8,29.7,29.7,2.37,2,2016
96,1.033,weekday,2016-05-06,00:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
97,0.857,weekday,2016-05-06,01:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
98,0.711,weekday,2016-05-06,02:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
99,0.6859999999999999,weekday,2016-05-06,03:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
100,0.311,weekday,2016-05-06,04:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
101,0.293,weekday,2016-05-06,05:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
102,0.3389999999999999,weekday,2016-05-06,06:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
103,0.324,weekday,2016-05-06,07:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
104,0.435,weekday,2016-05-06,08:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
105,0.4579999999999999,weekday,2016-05-06,09:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
106,0.306,weekday,2016-05-06,10:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
107,0.412,weekday,2016-05-06,11:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
108,0.7959999999999999,weekday,2016-05-06,12:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
109,1.922,weekday,2016-05-06,13:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
110,1.486,weekday,2016-05-06,14:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
111,1.671,weekday,2016-05-06,15:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
112,1.5490000000000002,weekday,2016-05-06,16:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
113,2.44,weekday,2016-05-06,17:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
114,1.864,weekday,2016-05-06,18:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
115,1.314,weekday,2016-05-06,19:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
116,1.195,weekday,2016-05-06,20:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
117,2.347,weekday,2016-05-06,21:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
118,1.256,weekday,2016-05-06,22:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
119,1.19,weekday,2016-05-06,23:00:00,5,82,73.8,68,72,70.0,68,100,88.7,62,17,7.7,0,29.7,29.7,29.7,0.39,4,2016
120,0.885,weekday,2016-06-06,00:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
121,0.7390000000000001,weekday,2016-06-06,01:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
122,0.987,weekday,2016-06-06,02:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
123,0.65,weekday,2016-06-06,03:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
124,0.757,weekday,2016-06-06,04:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
125,0.287,weekday,2016-06-06,05:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
126,0.478,weekday,2016-06-06,06:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
127,0.521,weekday,2016-06-06,07:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
128,0.356,weekday,2016-06-06,08:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
129,0.39,weekday,2016-06-06,09:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
130,0.407,weekday,2016-06-06,10:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
131,0.8079999999999999,weekday,2016-06-06,11:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
132,0.5720000000000001,weekday,2016-06-06,12:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
133,0.763,weekday,2016-06-06,13:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
134,0.706,weekday,2016-06-06,14:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
135,0.51,weekday,2016-06-06,15:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
136,0.439,weekday,2016-06-06,16:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
137,3.736,weekday,2016-06-06,17:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
138,3.804,weekday,2016-06-06,18:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
139,3.1060000000000003,weekday,2016-06-06,19:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
140,2.324,weekday,2016-06-06,20:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
141,2.6010000000000004,weekday,2016-06-06,21:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
142,1.991,weekday,2016-06-06,22:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
143,1.506,weekday,2016-06-06,23:00:00,6,87,76.6,70,73,70.8,68,100,84.0,53,8,4.7,0,29.7,29.7,29.6,0.44,0,2016
144,0.988,weekday,2016-07-06,00:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
145,1.178,weekday,2016-07-06,01:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
146,1.0490000000000002,weekday,2016-07-06,02:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
147,0.943,weekday,2016-07-06,03:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
148,1.024,weekday,2016-07-06,04:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
149,0.315,weekday,2016-07-06,05:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
150,0.504,weekday,2016-07-06,06:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
151,0.425,weekday,2016-07-06,07:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
152,0.369,weekday,2016-07-06,08:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
153,0.268,weekday,2016-07-06,09:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
154,0.422,weekday,2016-07-06,10:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
155,0.38,weekday,2016-07-06,11:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
156,0.316,weekday,2016-07-06,12:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
157,0.708,weekday,2016-07-06,13:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
158,0.82,weekday,2016-07-06,14:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
159,0.672,weekday,2016-07-06,15:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
160,0.478,weekday,2016-07-06,16:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
161,4.431,weekday,2016-07-06,17:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
162,4.019,weekday,2016-07-06,18:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
163,2.334,weekday,2016-07-06,19:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
164,2.349,weekday,2016-07-06,20:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
165,2.852,weekday,2016-07-06,21:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
166,2.037,weekday,2016-07-06,22:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
167,1.4409999999999998,weekday,2016-07-06,23:00:00,7,88,79.6,72,72,70.2,67,100,75.2,51,10,5.0,0,29.8,29.8,29.7,0.0,2,2016
168,1.243,weekend,2016-08-06,00:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
169,0.99,weekend,2016-08-06,01:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
170,1.07,weekend,2016-08-06,02:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
171,0.991,weekend,2016-08-06,03:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
172,1.001,weekend,2016-08-06,04:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
173,0.578,weekend,2016-08-06,05:00:00,8,88,79.3,71,72,69.0,64,96,73.3,46,12,4.8,0,29.8,29.8,29.8,0.0,5,2016
