,id,edit_history_tweet_ids,lang,created_at,text,author_id
0,1601671902892019712,['1601671902892019712'],en,2022-12-10T20:15:13.000Z,"RT @_IHREC: 5/5 Over half (55%) of people are concerned that they will not be able to cover household energy costs over the next year, with…",20692204
1,1601671342037897217,['1601671342037897217'],en,2022-12-10T20:13:00.000Z,"Here are a few simple habits you can adopt to quickly begin making a difference in your energy consumption:

●       Switch to green energy options
●       Turn off the lights as you exit a room
●       Use energy-saving lightbulbs
#IndraEnergy #EnergySolutions https://t.co/yduzgNNy7d",1194748222423650320
2,1601671322685255680,['1601671322685255680'],en,2022-12-10T20:12:55.000Z,"RT @Coach_Riad_: Worried your energy level is always low? Use this:

The Big 3:

Sleep:
🔸 Aim for 7-9hours of quality sleep per night.

Eat…",1587044477331349504
3,1601669657114464257,['1601669657114464257'],en,2022-12-10T20:06:18.000Z,"@lilmshappyplant @DailyCaller Also, all this energy efficient stuff (from lightbulbs on up) has = much &gt;$$ and had little to no effect on actual energy usage as proven by my monthly energy consumption report from my provider.",1599815723169320961
4,1601667799834718208,['1601667799834718208'],en,2022-12-10T19:58:55.000Z,"Intel Core i9-13900K: up to 350 W energy consumption thanks to ""extreme performance"" mode - https://t.co/UKRCQbtS5j https://t.co/AgNSbnUcss",1456266584134094862
5,1601667673687216128,['1601667673687216128'],en,2022-12-10T19:58:25.000Z,"All bitcoin nodes are competing against each other in solving a cryptographic puzzle. Because the solution is found randomly, is elected the leader of the round who produces the next block. This algorithm is called “Proof of work” and results in a lot of energy consumption.",1520459730912788484
6,1601665127237185536,['1601665127237185536'],en,2022-12-10T19:48:18.000Z,"ok @elonmusk, my name is not important right now what important is getting your attention.

I may have an idea/theory/plan, on how we can advance humanity into the age of space travel.

my plans will improve or energy grid/consumption.

my theory should help create new elements",1135264375558696961
7,1601664335658377216,['1601664335658377216'],en,2022-12-10T19:45:09.000Z,"@Noahpinion This is just power generation. That's the easy part. If you look at primary energy consumption, even in a country like Germany PV is still a tiny fraction. https://t.co/wNjoUXgGFL",4919482001
8,1601663572953927680,['1601663572953927680'],en,2022-12-10T19:42:07.000Z,@TrippAdams18 @SwipeWright An everyone must cut their energy consumption to save the planet but it's ok to bring in millions of immigrants that as they increase their standard of living also become consumers and drastically increase their energy consumption and CO2 footprint.,195192814
9,1601662961093054464,['1601662961093054464'],en,2022-12-10T19:39:42.000Z,"RT @OdumuOtuogha: @QuaiNetwork I can't wait to ask questions. Since quai uses POW mechanism, how do you intend to solve the high energy con…",823467503313485824
10,1601662686890463232,['1601662686890463232'],en,2022-12-10T19:38:36.000Z,"@Theekshana612 @hiragananinja Your body that does this to produce energy to ensure human movement, and store energy in excess of body consumption in cells in the form of adenosine triphosphate.
I am talking about whiskey or alcohol, you are the one who introduces it into your body,",1221430252326526978
11,1601662327824453632,['1601662327824453632'],en,2022-12-10T19:37:11.000Z,"@TeslaTechnics Yes, I agree it’s energy consumption is a terrible problem.",1398753589045116934
12,1601661559410860032,['1601661559410860032'],en,2022-12-10T19:34:07.000Z,@robnewlandukusa I will admit that during its bull-run I did believe there was something to it although the insane energy consumption of transacting and mining was a big concern of mine. For the energy consumption alone it should probably die…,1230094423523983361
13,1601660452098174977,['1601660452098174977'],en,2022-12-10T19:29:43.000Z,@dorfman_p Appears impressive until you explain people that in most developed countries electricity is only about 15% of the total energy consumption. So at half of Ireland's electricity use that amounts to wind having provided 8% of Ireland's energy last month. 🤔,246213562
14,1601657066233679872,['1601657066233679872'],en,2022-12-10T19:16:16.000Z,"RT @SaveStandard: “Adopting fall-back [Standard Time] year-round will benefit sleep patterns, improve mental health and empathy.” #EndDayli…",415733099
15,1601656746811936768,['1601656746811936768'],en,2022-12-10T19:15:00.000Z,"RT @cognazor: @serraotweets Tech gave us many nice things, but it also pushed us to the brink of biosphere collapse and an energy cliff. We…",752984680765329408
16,1601655423484178433,['1601655423484178433'],en,2022-12-10T19:09:44.000Z,RT @ESBGroup: Small changes really can make a big difference in our energy consumption this winter.,1262803762508443648
